latitude,longitude,free_bikes,empty_slots,name
43.630874,-79.482407,18,3,The Queensway / High St
43.6704403,-79.45328549999999,4,11,Symington Ave / Davenport Rd
43.6535,-79.354068,20,0,Front St E / Bayview Avenue
43.6617908,-79.361515,18,8,Oak St / Sumach St
43.666051,-79.374161,10,37,439 Sherbourne St
43.7005976,-79.397345,3,13,Glebe Rd W / Yonge St
43.7029672,-79.3979073,7,8,Hillsdale Ave W / Yonge St
43.68871,-79.39264,1,18,Alvin Ave / St Clair Ave E
43.6834703,-79.5108942,2,18,Eglinton Ave W / Scarlett Rd
43.7696262,-79.5025943,1,25,The Pond Rd / Sentinel Rd
43.7641485,-79.5012809,0,26,Sentinel Rd / Finch Corridor Trail
43.76521,-79.491281,0,23,Finch West Subway Station
43.7724019,-79.4675395,0,18,Dufferin St / Finch Corridor Trail
43.7781116,-79.467963,0,19,G Ross Lord Park
43.707049,-79.40966,2,21,Elwood Blvd / Avenue Rd
43.711751,-79.378615,7,18,Roehampton Ave / Bayview Ave
43.732975,-79.40401,2,13,Teddington Park Ave
43.660274,-79.398049,11,9,Ursula Franklin St / Huron St - SMART
43.699281,-79.318802,14,5,Woodbine Ave / O'Connor Dr
43.696631,-79.297436,11,6,Dawes Rd / Taylor Creek Trl
43.6765897,-79.3163022,13,4,Fairmount Park
43.650745,-79.383633,13,4,Richmond St W / York St
43.720233,-79.362092,15,10,Sunnybrook Park
43.6926825,-79.441042,1,16,Vaughan Rd / Oakwood Ave
43.7041957,-79.4094472,1,13,Braemar Ave / Eglinton Ave W
43.5880774,-79.5432067,16,5,Marie Curtis Park
43.754978,-79.1971289,4,4,Guildwood GO Station (South)
43.6856,-79.3718,4,16,Chorley Park - SMART
43.637764,-79.345359,6,36,Cherry Beach
43.6629228,-79.4018451,13,22,Spadina Ave / Harbord St - SMART
43.660296,-79.397107,6,9,Ursula Franklin St / St. George St - SMART
43.7805505,-79.1301203,16,6,Rouge Hill GO Station
43.7777114,-79.1659711,9,10,Colonel Danforth Park
43.779353,-79.193023,3,19,Morningside Park (Highland Creek Trail)
43.747854,-79.199327,8,10,Livingston Rd / Guildwood Pkwy
43.7561681,-79.2026694,4,15,Livingston Rd (Highland Creek Trail)
43.6002896,-79.5108692,14,8,Twelfth St / Thirteenth St
43.6632257,-79.4397052,7,8,Wallace Ave / Pauline Ave
43.680095,-79.291714,7,8,Kingston Rd / Beech Ave
43.691468,-79.288619,6,12,Victoria Park Ave / Danforth Ave
43.645609,-79.380386,41,0,Union Station
43.6591666666667,-79.3855555555556,4,17,Hayter St / La Plante Ave
43.658777,-79.369596,15,17,Seaton St / Dundas St E - SMART
43.6625395,-79.5030161,7,7,Lundy Ave / Étienne Brûlé Park
43.7004017,-79.4275305,1,16,Chiltern Hill Rd / Eglinton Ave W
43.77953,-79.45233,1,12,Torresdale Ave / Antibes Dr
43.7774374,-79.4447096,0,23,Esther Shiner Stadium
43.6637403,-79.39806449999999,9,3,St. George St / Hoskin Ave
43.707045,-79.375437,4,7,Fleming Cres / Bayview Ave
43.6495789,-79.3762096,7,11,King St E / Victoria St
43.690903,-79.4375028,1,14,Alameda Ave / Vaughan Rd - SMART
43.643253094827294,-79.41230469904167,0,15,Adelaide St W / Strachan Ave
43.6029904,-79.4926867,16,0,Royal York Rd / Lake Shore Blvd W
43.6596299,-79.4799176,3,11,Runnymede Rd / Annette St
43.6608333,-79.43166666666667,1,12,Salem Ave / Bloor St W
43.66083333333333,-79.43583333333333,4,17,Dufferin St / Bloor St W
43.69933,-79.39199,2,16,Davisville Ave / Pailton Cres
43.6653032,-79.4701178,4,8,High Park Ave / Dundas St W
43.6162721,-79.4990363,5,14,Judson St / Royal York Rd
43.720645,-79.355474,7,20,Wilket Creek Park
43.6641174,-79.4588522,2,13,Annette St / Dundas St W
43.6424558,-79.4296346,1,12,Noble St / Queen St W
43.6954486,-79.4026176,3,16,Oriole Pkwy / Kilbarry Rd
43.6850809,-79.3149901,6,8,East Lynn Ave / Danforth Ave
43.6800218,-79.3405681,15,16,Langford Ave / Danforth Ave - SMART
43.7842419,-79.1849889,8,8,University of Toronto Scarborough
43.6451308,-79.36536439999999,11,3,190 Queens Quay E
43.65637299999999,-79.38781039999999,4,13,Elm St/ University Ave (East Side)
43.778015,-79.131911,14,3,Waterfront Trail (Rouge Hill)
43.672079,-79.470171,8,10,St Clair Ave W / Gunns Rd
43.690237,-79.350119,9,10,Pape Ave / Gamble Ave
