id,name,latitude,longitude,free_bikes,empty_slots,bike_availability,ll,n_pois,n_bar_restaurant,n_cafe,n_live,n_park
685abb6b7df0fc0b474505ef5e2663fe,640 Bloor Street E,43.67468857448634,-79.36701962396272,0,17,0.0,"43.674689,-79.36702",35,16,2,1,11
2fe7046cdd8cc701a2240f52b9e8555f,York University (Glendon Campus) - SMART,43.72736548824631,-79.3814254607724,5,10,33.33,"43.727365,-79.381425",14,4,4,0,4
37b4b6822fe05d33d64c2a174a23a4ee,1303 Yonge St - SMART,43.6846177,-79.39245919999999,0,15,0.0,"43.684618,-79.392459",44,32,5,1,6
db63343ae1e174637ed6eba3912c4440,York University Station (South) - SMART,43.77345,-79.5002,0,16,0.0,"43.77345,-79.5002",50,31,12,0,4
ef56a1cd06ce475b3420570afbced3fa,Woodbine Subway Station,43.686442,-79.313404,6,8,42.86,"43.686442,-79.313404",39,22,4,0,9
e5f767772c705d8231b6b198de4aa458,Spadina Ave / Sussex Ave - SMART,43.66402799999999,-79.40297869999999,9,23,28.12,"43.664028,-79.402979",43,25,6,1,9
fc7fa6476f3fce587eeb9e2200faa005,Simcoe St / Queen St W,43.65049,-79.3873,3,34,8.11,"43.65049,-79.3873",50,36,5,5,3
a93e2f7df07b08d45c3ae0a1502c184c,Bathurst St / Front St W,43.64134790000001,-79.4013882,28,4,87.5,"43.641348,-79.401388",50,31,7,1,8
ca19ceffb308e52cc30e908f7dd57475,Bay St / Harbour St (East),43.64215,-79.377,5,18,21.74,"43.64215,-79.377",50,33,7,3,4
b64e9d0701f0c67b654468e6bfdba32a,East Liberty St / Western Battery Rd,43.6392777,-79.4115736,5,13,27.78,"43.639278,-79.411574",50,30,8,0,10
5e955f1219b3ebaf906b808073da5e1e,King St W / Brant St,43.645102,-79.39744979999999,6,14,30.0,"43.645102,-79.39745",50,36,5,2,5
3a6af188aaae40c51d6ec8d22cd104d2,Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,1,6,14.29,"43.660202,-79.434273",42,27,9,2,3
3ffc414d28a17036998674a120f66c6f,Fort York Blvd / Garrison Rd,43.637381,-79.406112,8,4,66.67,"43.637381,-79.406112",44,19,5,0,16
32444ff0455dc908ae997a28379ebe7d,Housey St / Dan Leckie Way,43.63811,-79.397877,13,12,52.0,"43.63811,-79.397877",50,28,5,1,11
bf59891d338ebdd311b6d839cdde77b8,1525 Dundas St W,43.64957,-79.432446,7,6,53.85,"43.64957,-79.432446",50,34,7,4,1
32b49dd6da901eac98ec2028f4447d71,85 Lee Ave,43.6700692,-79.2971326,20,1,95.24,"43.670069,-79.297133",50,28,6,0,14
a5836251279be7a7699855d904f4ddf0,Mutual St / Shuter St (Arena Gardens),43.6559476,-79.37558829999999,3,15,16.67,"43.655948,-79.375588",50,32,7,3,7
010507feed5b8d87c40cd95933ed5654,Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,9,8,52.94,"43.667763,-79.308117",50,28,6,1,14
941a4749a64f58b21da983a2c679ee40,Heyworth Cres / Kingston Rd,43.6750806,-79.3068697,9,10,47.37,"43.675081,-79.30687",39,24,5,0,9
d9103bade315662e56fbbc902b342ee6,St Clair Ave W / Caledonia Rd,43.6754247,-79.4547813,1,13,7.14,"43.675425,-79.454781",36,27,1,0,8
e7c767f3a1e8dcb9a41229a68b69eaad,Wellington St W / Stafford St,43.6409957,-79.40966630000001,3,17,15.0,"43.640996,-79.409666",50,31,7,0,11
a7060ce11ef209bd9f6905ab5bd50a34,111 Broadview Ave,43.6593483,-79.34993659999999,13,2,86.67,"43.659348,-79.349937",50,32,10,1,6
947c5660ee75d790b7db219013ea64e7,Christie St / Dupont St,43.67168,-79.421192,3,16,15.79,"43.67168,-79.421192",27,14,5,1,5
b59204ea6e3eaa8ade44469b0cd3703e,Richmond St E / Jarvis St Green P,43.652634,-79.374222,8,5,61.54,"43.652634,-79.374222",50,31,7,5,5
b01afd080bfe7a9ae061756b868ef9f0,Oak St / Sackville St,43.6613642,-79.3641171,7,10,41.18,"43.661364,-79.364117",45,24,6,6,6
4c1ee1ccabcd1c9eaca449e5b3bbbb6f,24 Mountjoy Ave,43.6808774,-79.3304491,2,17,10.53,"43.680877,-79.330449",41,23,6,2,9
d2505c265a6e749d5d2be70c140f029d,Colgate Ave / Carlaw Ave,43.6623658,-79.3413344,18,1,94.74,"43.662366,-79.341334",50,31,9,2,5
a2f8dc99e24a4f75d8d8f3f98efbc535,Felstead Ave/Gillard Ave (Monarch Park),43.6791345,-79.3263159,14,11,56.0,"43.679134,-79.326316",25,12,4,2,6
290fef611ea995910eb2d8e6dee93350,Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,7,5,58.33,"43.647821,-79.370472",50,32,8,3,4
edbbbbc2b0bd5c8322b6395633ce610c,101 Cedarvale Ave,43.6868681,-79.3110942,16,6,72.73,"43.686868,-79.311094",40,23,3,0,11
61b868926458c2406053b0bf2f81dcd6,St Clair Ave W / Oakwood Ave,43.678177,-79.435364,0,15,0.0,"43.678177,-79.435364",40,34,5,0,0
804d113fb2dbc6b44947189e9e8bff7d,Beltline Trail / Yonge St,43.6962302,-79.39504339999999,5,18,21.74,"43.69623,-79.395043",44,24,6,1,12
7a271c4cbc993e06ac677f78d5b6ba4b,Shaw St / Essex St - SMART,43.667076,-79.425116,8,6,57.14,"43.667076,-79.425116",38,26,7,1,2
d24c01668df7f8e972f3e5980bf1fc6e,St Clair Ave W / Robina Ave,43.68005,-79.43469,0,15,0.0,"43.68005,-79.43469",45,37,7,0,0
a76d410d56c1dadfbc8960683df209e2,Joseph J Piccininni Community Centre,43.675648,-79.4527619,5,13,27.78,"43.675648,-79.452762",42,33,1,0,8
910e92b9e361308bb305c6780fce822f,11 Spadina Rd,43.6677246,-79.4041365,5,11,31.25,"43.667725,-79.404136",49,29,7,2,11
56275b952451bea6cdc0a9e666ea363f,Vanauley St / Queen St W - SMART,43.648437,-79.39838,4,7,36.36,"43.648437,-79.39838",50,38,6,2,3
2904c293698dc248004b5f43e1a28f80,Sherbourne St / Wellesley St E,43.6673,-79.374,1,29,3.33,"43.6673,-79.374",48,30,5,2,8
2e6dd23e4dee03087c5e80f76cda5519,Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,14,5,73.68,"43.651792,-79.382695",50,32,6,6,5
90753b36d53f9713816264fff0eb5cba,King St W / Wilson Park Blvd,43.6372958,-79.4423237,11,7,61.11,"43.637296,-79.442324",47,31,5,1,5
19997314e5dc85c591c39255f1081992,Havelock St / Dewson St,43.6554793,-79.4302462,4,8,33.33,"43.655479,-79.430246",50,34,10,2,3
e28bec2cacb249601ba4e3da8ce10aa3,St Clair West Subway Station - Heath Entrance,43.686352,-79.415894,0,22,0.0,"43.686352,-79.415894",49,24,11,1,9
e15764d43dae2febba437044f0b41c0d,Queen St W / Shaw St,43.6442457,-79.41610440000001,12,9,57.14,"43.644246,-79.416104",50,34,11,1,4
02d90c8ede19da66083e0d0e14d17258,York University Station (North),43.7741,-79.5005,0,15,0.0,"43.7741,-79.5005",50,31,12,0,4
70f4c2f125f887140a39865c643b83e1,Spadina Rd / St.Clair Ave West,43.683979,-79.410657,7,8,46.67,"43.683979,-79.410657",44,17,8,1,15
a73d255f1af70c61f91b4bbf216054ec,Spadina Ave / Adelaide St W,43.6472019,-79.3953394,3,12,20.0,"43.647202,-79.395339",50,37,4,3,3
d6bc7298aa11006015119e2e237ce83d,Cherry St / Mill St,43.6513927,-79.35794659999999,11,3,78.57,"43.651393,-79.357947",50,27,8,3,10
a385b32a5f6b3de23ce3def7f59ecbc1,Jarvis St / Maitland Pl,43.6647688,-79.3772602,1,15,6.25,"43.664769,-79.37726",50,34,8,3,4
89a0071a8f7f69a70263dd5c0d9d64f5,Randolph Ave / Perth Ave,43.6585504,-79.4497659,5,12,29.41,"43.65855,-79.449766",48,29,11,1,5
0ec6c1acd2e8975a5a2d5ddfe6028115,Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,5,22,18.52,"43.64842,-79.400519",50,37,9,1,2
a3246dc710b72e282aabc15520392d98,Lumsden Ave / Cedarvale Ave,43.693187,-79.314283,2,8,20.0,"43.693187,-79.314283",18,4,1,1,11
e8fa9e1f75a6a3e6795f420149665538,Niagara St / Portland St,43.6425791,-79.40011729999999,6,5,54.55,"43.642579,-79.400117",50,30,8,1,8
eec8016afd7a2c9574726724fc5bbab9,Widmer St / King St W,43.6463574,-79.391206,5,5,50.0,"43.646357,-79.391206",50,35,4,4,4
f01e7413a6af4607ca80257160d89ae6,Wellesley St E / Parliament St,43.6682342,-79.3702641,1,14,6.67,"43.668234,-79.370264",48,24,4,5,11
90fadd5570633a9503c556d49fcd59b8,Yonge St / Macpherson Ave,43.6791876,-79.39071899999999,0,15,0.0,"43.679188,-79.390719",36,22,3,0,10
2e3ac17daffcf4eac85216832f31a3b5,Davenport Rd / Bedford Rd,43.674446,-79.398331,13,2,86.67,"43.674446,-79.398331",50,35,7,1,7
15b272ca422dbbafeb002f3a84d15436,St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,1,19,5.0,"43.66588,-79.38761",50,32,10,4,3
9144e4fe1b004cd29d1f4a056a3542fc,Victoria Park Ave / Kingston Rd,43.68035,-79.28357,0,15,0.0,"43.68035,-79.28357",33,25,3,0,3
328543a3291fd54d24971108f96bb053,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,5,14,26.32,"43.653505,-79.366769",50,27,13,4,3
6140f3635573c8910f854df84e633837,Highview Ave / Kennedy Rd,43.70241858146351,-79.2563167072858,8,7,53.33,"43.702419,-79.256317",26,16,2,0,8
8e671c6621816f2d0003b23c0bda5e08,Kingston Rd / Warden Ave,43.68824135931814,-79.27046628033244,9,6,60.0,"43.688241,-79.270466",15,7,1,1,3
88ede41a08aa08dfee94f811a9834e1b,Birchcliff Ave / Kingston Rd,43.691688,-79.265027,5,10,33.33,"43.691688,-79.265027",15,8,1,1,3
